芭贰老磊,芭贰矫埃,瘤开,楷丰盔,惯傈樊(MWh)
2023-12-17,20,腊瘤,浅仿,534.905334
2023-12-17,21,腊瘤,浅仿,557.484557
2023-12-17,22,腊瘤,浅仿,552.771976
2023-12-17,23,腊瘤,浅仿,551.233222
2023-12-17,24,腊瘤,浅仿,544.589829
2023-12-18,1,腊瘤,浅仿,538.684799
2023-12-18,2,腊瘤,浅仿,513.724337
2023-12-18,3,腊瘤,浅仿,483.035616
2023-12-18,4,腊瘤,浅仿,527.719618
2023-12-18,5,腊瘤,浅仿,569.372204
2023-12-18,6,腊瘤,浅仿,541.532231
2023-12-18,7,腊瘤,浅仿,458.228382
2023-12-18,8,腊瘤,浅仿,371.475602
2023-12-18,9,腊瘤,浅仿,358.909176
2023-12-18,10,腊瘤,浅仿,386.42705
2023-12-18,11,腊瘤,浅仿,357.534244
2023-12-18,12,腊瘤,浅仿,309.067736
2023-12-18,13,腊瘤,浅仿,209.737479
2023-12-18,14,腊瘤,浅仿,188.337888
2023-12-18,15,腊瘤,浅仿,138.236003
2023-12-18,16,腊瘤,浅仿,167.4301
2023-12-18,17,腊瘤,浅仿,161.684809
2023-12-18,18,腊瘤,浅仿,171.082341
2023-12-18,19,腊瘤,浅仿,156.16481
2023-12-18,20,腊瘤,浅仿,126.954553
2023-12-18,21,腊瘤,浅仿,155.938707
2023-12-18,22,腊瘤,浅仿,164.677229
2023-12-18,23,腊瘤,浅仿,162.657039
2023-12-18,24,腊瘤,浅仿,146.652601
2023-12-19,1,腊瘤,浅仿,142.446961
2023-12-19,2,腊瘤,浅仿,160.016252
2023-12-19,3,腊瘤,浅仿,175.535319
2023-12-19,4,腊瘤,浅仿,229.182006
2023-12-19,5,腊瘤,浅仿,238.021762
2023-12-19,6,腊瘤,浅仿,183.798075
2023-12-19,7,腊瘤,浅仿,156.645886
2023-12-19,8,腊瘤,浅仿,115.743671
2023-12-19,9,腊瘤,浅仿,83.669665
2023-12-19,10,腊瘤,浅仿,119.342821
2023-12-19,11,腊瘤,浅仿,109.135415
2023-12-19,12,腊瘤,浅仿,82.730302
2023-12-19,13,腊瘤,浅仿,62.645112
2023-12-19,14,腊瘤,浅仿,65.57863
2023-12-19,15,腊瘤,浅仿,96.982395
2023-12-19,16,腊瘤,浅仿,82.135192
2023-12-19,17,腊瘤,浅仿,73.430122
2023-12-19,18,腊瘤,浅仿,88.721344
2023-12-19,19,腊瘤,浅仿,101.496341
2023-12-19,20,腊瘤,浅仿,94.3167
2023-12-19,21,腊瘤,浅仿,161.523275
2023-12-19,22,腊瘤,浅仿,274.964234
2023-12-19,23,腊瘤,浅仿,384.944866
2023-12-19,24,腊瘤,浅仿,495.64442
2023-12-20,1,腊瘤,浅仿,554.982771
2023-12-20,2,腊瘤,浅仿,595.980879
2023-12-20,3,腊瘤,浅仿,618.606183
2023-12-20,4,腊瘤,浅仿,611.90134
2023-12-20,5,腊瘤,浅仿,655.809282
2023-12-20,6,腊瘤,浅仿,761.090951
2023-12-20,7,腊瘤,浅仿,815.539389
2023-12-20,8,腊瘤,浅仿,836.063269
2023-12-20,9,腊瘤,浅仿,842.911711
2023-12-20,10,腊瘤,浅仿,870.864836
2023-12-20,11,腊瘤,浅仿,861.806969
2023-12-20,12,腊瘤,浅仿,869.489499
2023-12-20,13,腊瘤,浅仿,874.042396
2023-12-20,14,腊瘤,浅仿,882.708889
2023-12-20,15,腊瘤,浅仿,886.091492
2023-12-20,16,腊瘤,浅仿,929.59111
2023-12-20,17,腊瘤,浅仿,963.445015
2023-12-20,18,腊瘤,浅仿,941.558675
