날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2024-02-29,53.78,43.525,34.402,48.537,56.178,68.596,84.846,127.042,143.171,173.351,202.739,220.235,217.638,199.19,195.766,180.149,165.547,172.213,152.639,148.14,154.091,160.86,170.493,219.12
2024-03-01,218.295,243.944,228.206,221.652,227.345,212.54,207.163,237.947,237.601,239.931,226.273,206.98,231.831,216.967,232.391,225.252,231.127,212.358,197.713,200.579,200.544,214.221,204.302,207.19
2024-03-02,198.288,190.085,167.215,145.054,131.577,113.705,94.462,67.053,40.913,33.62,30.669,31.407,25.415,25.016,27.849,29.002,26.798,26.402,23.774,10.88,22.732,20.268,25.097,29.246
2024-03-03,38.623,36.913,45.789,48.194,39.955,37.264,37.473,27.996,27.827,28.299,38.189,42.17,45.392,42.258,52.993,56.534,50.888,42.156,23.243,16.013,19.054,16.22,11.526,9.041
2024-03-04,10.189,7.793,6.478,6.498,1.047,0.047,0.047,0.588,3.576,6.595,25.63,61.174,83.748,73.347,52.086,40.999,32.197,42.564,49.715,50.701,42.247,51.987,57.526,73.185
2024-03-05,95.786,74.828,70.801,72.72,71.511,79.219,78.577,75.059,85.845,96.154,100.668,106.715,107.757,106.478,94.118,116.079,133.431,149.032,137.533,135.287,132.97,146.446,111.015,122.484
2024-03-06,159.032,119.85,92.057,89.512,81.704,85.675,80.594,86.813,75.713,57.014,42.932,33.5,29.256,26.632,36.185,32.9,34.248,35.608,28.982,32.824,39.486,49.548,77.117,94.658
2024-03-07,100.705,80.249,81.214,109.487,112.074,125.921,138.518,111.61,115.748,89.093,82.293,59.852,75.877,157.309,122.231,159.058,188.501,196.141,206.686,230.018,221.772,216.422,229.315,219.387
2024-03-08,220.779,218.476,208.248,188.562,184.859,176.918,167.895,162.548,154.495,145.046,169.418,156.251,105.257,86.635,88.468,161.261,232.709,229.783,220.996,216.188,193.329,191.558,196.66,198.224
2024-03-09,206.069,197.299,190.444,178.92,163.748,147.707,141.034,127.962,122.99,134.597,134.423,79.857,12.21,7.953,37.703,79.245,106.074,115.496,101.778,91.693,91.401,99.383,90.095,87.58
2024-03-10,89.753,73.771,78.235,76.827,78.266,67.058,54.08,53.095,33.147,27.337,17.657,7.2,4.353,4.17,7.366,13.12,5.287,0.678,0,0.225,0.025,0.628,3.6,5.709
2024-03-11,14.302,25.304,39.959,41.408,34.506,63.343,85.086,68.332,81.167,81.458,61.313,89.815,74.423,54.662,41.824,12.219,4.441,0.702,5.182,5.152,1.53,2.806,4.715,10.595
2024-03-12,13.69,23.928,37.99,54.104,69.121,83.287,46.186,39.221,38.026,31.671,39.084,52.058,82.28,93.067,125.495,160.999,194.593,214.304,214.606,220.185,234.802,210.383,238.055,225.973
2024-03-13,190.121,161.943,177.324,202.503,170.124,110.032,125.361,96.498,65.994,25.096,24.787,27.041,14.858,13.932,20.341,24.014,26.175,41.975,52.754,66.017,46.118,39.76,35.319,40.826
2024-03-14,42.419,35.14,20.408,19.644,29.353,22.97,23.624,15.996,3.697,0.376,0.136,0.644,2.767,6.676,4.165,3.974,3.039,1.669,0.53,2.525,3.59,5.7,11.711,11.176
2024-03-15,9.418,21.037,19.536,9.067,3.868,0.887,0.778,1.723,1.715,0.125,0.869,1.849,4.153,5.886,7.051,6.903,3.611,0.568,0.646,4.479,8.689,5.369,3.811,2.162
2024-03-16,0.801,1.015,0.253,0.058,0.264,0.168,0.23,1.222,0.631,0.247,6.008,19.494,20.728,32.904,33.715,34.824,25.517,28.742,53.545,46.253,33.843,25.451,38.732,42.311
2024-03-17,36.544,18.218,9.104,7.374,2.759,3.112,9.413,46.945,123.002,151.884,197.888,184.113,235.264,212.562,230.82,246.543,250.179,241.971,245.171,237.091,219.312,210.438,224.225,239.49
2024-03-18,240.099,236.03,231.869,188.725,180.782,152.441,133.578,99.11,53.015,29.72,21.632,20.959,16.07,17.548,13.178,13.398,22.863,9.288,2.598,7.409,11.277,3.072,1.247,9.541
2024-03-19,15.839,17.768,17.21,30.906,32.293,34.966,24.242,39.354,39.101,19.839,34.432,108.379,53.193,28.822,63.722,154.44,173.619,182.858,207.824,234.508,249.528,265.156,263.385,257.852
2024-03-20,260.241,247.415,227.629,204.278,194.415,207.348,223.242,247.733,252.591,255.206,234.661,145.199,61.237,39.08,93.161,154.584,213.299,225.679,205.935,183.752,159.913,125.987,121.165,104.71
2024-03-21,75.566,78.642,88.388,86.463,75.67,66.055,64.869,63.988,67.493,51.023,47.903,37.592,13.011,13.634,23.437,19.866,9.319,2.543,0.045,0.015,1.124,9.353,34.763,69.02
2024-03-22,79.957,63.984,77.822,69.715,73.862,89.069,124.277,152.034,163.487,205.782,132.881,56.455,30.774,118.211,222.953,231.897,226.292,245.927,222.668,216.35,212.515,207.185,213.085,206.319
2024-03-23,161.238,131.474,130.223,149.181,128.613,118.2,57.665,25.64,6.506,0.758,0.192,0.294,0.511,2.678,0.504,1.218,2.119,1.907,0.76,2.7,2.597,8.469,5.729,1.261
2024-03-24,1.953,17.875,33.773,36.548,47.654,74.376,67.957,67.502,76.74,79.855,76.283,75.605,68.375,64.389,60.261,60.237,81.648,100.052,90.557,75.578,61.76,63.293,52.962,37.405
2024-03-25,29.746,33.884,38.436,28.407,27.154,25.838,29.686,37.298,46.688,47.808,60.46,102.136,106.195,53.092,84.369,96.877,96.497,79.094,91.266,100.621,115.839,125.548,107.774,71.724
2024-03-26,83.073,106.515,80.423,95.468,44.897,65.265,246.58,198.098,93.773,115.642,168.693,211.195,209.421,199.913,202.04,198.143,203.907,163.552,64.672,34.546,33.313,21.819,19.879,13.651
2024-03-27,9.181,5.005,2.112,2.342,1.594,3.042,1.612,2.167,0.789,0.757,7.395,13.966,22.037,27.677,23.948,21.187,21.406,27.717,20.963,13.435,23.974,48.271,82.927,75.35
2024-03-28,57.329,40.231,63.395,89.369,89.897,84.985,120.025,173.856,222.092,246.301,227.182,221.499,209.194,202.012,146.532,79.874,83.634,135.592,182.422,165.967,201.62,219.269,202.585,178.703
2024-03-29,121.206,83.198,59.969,46.956,19.07,7.958,15.727,32.565,66.814,117.647,72.274,22.682,20.274,34.37,76.19,124.158,144.054,93.002,61.745,41.059,42.629,33.257,17.844,3.29
2024-03-30,0.692,2.422,1.011,0.188,3.283,21.664,76.485,103.635,127.835,115.032,49.162,18.252,15.863,7.166,6.539,30.525,59.116,50.352,39.893,34.542,23.119,17.842,17.189,14.485
2024-03-31,13.007,35.057,43.926,40.444,38.702,20.383,9.54,12.64,13.546,9.02,6.395,5.926,5.91,7.752,3.666,2.586,3.803,28.054,27.61,10.494,10.247,25.312,5.245,0.885
2024-04-01,1.977,12.989,37.071,36.477,24.219,14.385,8.248,2.343,1.277,2.256,3.811,2.276,2.58,2.333,7.046,1.548,0.256,1.102,0.89,22.197,32.85,42.597,65.456,87.973
2024-04-02,113.021,143.437,126.643,100.35,76.507,71.795,78.561,76.903,47.655,24.491,37.1,34.664,52.155,75.801,101.077,93.769,130.589,158.754,170.959,202.804,178.723,184.271,145.56,112.74
2024-04-03,100.321,127.755,30.832,54.816,82.131,16.822,18.709,49.097,58.603,46.716,32.514,26.24,21.133,25.635,26.151,14.141,15.812,24.031,16.726,39.164,65.623,80.722,71.107,43.831
2024-04-04,26.132,19.911,10.341,8.379,21.419,19.526,3.255,0.233,0.219,1.513,7.022,8.722,13.057,11.747,16.513,18.856,22.961,14.836,10.397,12.982,9.746,12.347,13.944,14.581
2024-04-05,16.372,14.008,20.327,23.853,18.128,29.269,35.494,33.938,30.346,38.752,44.141,42.201,47.856,43.232,38.061,33.439,34.175,33.049,24.574,33.802,13.734,6.092,8.608,20.542
2024-04-06,16.375,14.15,35.912,26.561,28.126,34.356,35.24,23.442,25.512,16.667,8.201,15.517,20.035,16.419,19.231,19.914,19.75,6.444,13.513,12.864,0.143,4.307,2.388,0.165
2024-04-07,0.047,1.764,2.277,3.417,16.915,18.526,16.55,18.39,12.972,4.84,6.843,2.338,1.985,3.631,4.299,1.537,0.758,1.127,0.062,0.215,0.366,0.347,0.145,0.042
2024-04-08,0.047,0.086,0.65,2.953,3.148,16.705,23.838,23.349,11.531,3.03,2.22,2.532,4.968,8.302,7.436,26.411,31.578,39.298,39.634,38.5,47.25,44.303,40.725,54.127
2024-04-09,76.988,40.669,33.384,15.355,8.261,15.803,31.215,23.614,5.004,0.468,6.957,35.947,53.153,51.565,47.445,39.085,39.131,31.4,24.839,24.353,23.461,20.551,31.368,29.686
